datetime,spotprice_EUR_per_MWh,EE_total_MWh,demand_MWh,ee_to_load_MWh,ee_to_batt_MWh,ee_export_MWh,grid_to_load_MWh,grid_to_batt_MWh,batt_discharge_MWh,SOC_MWh,charge_mode_binary
2025-05-01 15:00:00,-49.989999999999995,14.379297528971,8.306468144326045,8.306468144326045,0.0,6.072829384644955,0.0,0.0,0.0,12.0,0
2025-05-01 16:00:00,-5.17,10.790129437429751,8.482290711359635,8.482290711359635,0.0,2.3078387260701163,0.0,0.0,0.0,12.0,0
2025-05-01 17:00:00,40.769999999999996,7.99478755982766,8.995980636327172,7.99478755982766,0.0,0.0,0.0,0.0,1.0011930764995114,10.998806923500489,0
2025-05-01 18:00:00,96.14000000000001,4.291874459794565,9.607078871570009,4.291874459794565,0.0,0.0,0.0,0.0,5.315204411775444,5.683602511725045,0
2025-05-01 19:00:00,129.87,1.3792170804416375,9.984068309882277,1.3792170804416375,0.0,0.0,2.921248717715594,0.0,5.683602511725045,0.0,0
2025-05-01 20:00:00,164.38,1.0964642780497065,9.997732688681083,1.0964642780497065,0.0,0.0,8.901268410631376,0.0,0.0,0.0,0
2025-05-01 21:00:00,122.44999999999999,0.0,10.14208749541037,0.0,0.0,0.0,10.14208749541037,0.0,0.0,0.0,0
2025-05-01 22:00:00,100.73,0.0,9.824007972334446,0.0,0.0,0.0,9.824007972334446,0.0,0.0,0.0,0
2025-05-01 23:00:00,87.10000000000001,0.0,9.240295193356435,0.0,0.0,0.0,9.240295193356435,0.0,0.0,0.0,0
2025-05-02 00:00:00,89.92000000000002,0.0,8.778938138228305,0.0,0.0,0.0,8.778938138228305,0.0,0.0,0.0,0
2025-05-02 01:00:00,77.12,0.0,8.441751164300939,0.0,0.0,0.0,8.441751164300939,0.0,0.0,0.0,0
2025-05-02 02:00:00,66.9,0.0,8.399170465222506,0.0,0.0,0.0,8.399170465222506,0.0,0.0,0.0,0
2025-05-02 03:00:00,63.91,0.0,8.358517520829379,0.0,0.0,0.0,8.358517520829379,0.0,0.0,0.0,0
2025-05-02 04:00:00,66.0,0.0,8.574539442918375,0.0,0.0,0.0,8.574539442918375,0.0,0.0,0.0,0
2025-05-02 05:00:00,74.00999999999999,0.0,9.153886424520834,0.0,0.0,0.0,9.153886424520834,0.0,0.0,0.0,0
2025-05-02 06:00:00,86.83,0.23265824684907277,10.196291421267873,0.23265824684907277,0.0,0.0,9.9636331744188,0.0,0.0,0.0,0
2025-05-02 07:00:00,88.55000000000001,0.9943551490054667,10.941368607139658,0.9943551490054667,0.0,0.0,9.947013458134192,0.0,0.0,0.0,0
2025-05-02 08:00:00,84.9,1.3885954650422199,11.50449976991864,1.3885954650422199,0.0,0.0,10.11590430487642,0.0,0.0,0.0,0
2025-05-02 09:00:00,55.0,3.230369495884741,11.40663787030562,3.230369495884741,0.0,0.0,8.176268374420879,10.0,0.0,10.0,1
2025-05-02 10:00:00,0.8500000000000001,13.222708308049663,11.29380752254785,11.29380752254785,1.9289007855018134,0.0,0.0,0.07109921449818657,0.0,12.0,1
2025-05-02 11:00:00,-0.01,18.40253410903451,11.252360796813713,11.252360796813713,0.0,7.1501733122207956,0.0,0.0,0.0,12.0,0
2025-05-02 12:00:00,-0.8,9.593954608873087,11.414292190379639,9.593954608873087,0.0,0.0,0.0,0.0,1.8203375815065517,10.179662418493448,0
2025-05-02 13:00:00,-3.0,17.7152637185323,11.149963003823496,11.149963003823496,1.8203375815065517,4.744963133202251,0.0,0.0,0.0,12.0,1
2025-05-02 14:00:00,-4.0,23.752343474357446,10.848155998238266,10.848155998238266,0.0,12.90418747611918,0.0,0.0,0.0,12.0,0
2025-05-02 15:00:00,-0.08,21.702454000702264,10.829048547386824,10.829048547386824,0.0,10.87340545331544,0.0,0.0,0.0,12.0,0
2025-05-02 16:00:00,0.3,14.762434841362255,10.759252488045208,10.759252488045208,0.0,4.003182353317047,0.0,0.0,0.0,12.0,0
2025-05-02 17:00:00,67.5,7.215754947963164,11.09592917396764,7.215754947963164,0.0,0.0,0.0,0.0,3.880174226004476,8.119825773995524,0
2025-05-02 18:00:00,99.9,2.263699932778566,11.396432110206927,2.263699932778566,0.0,0.0,1.0129064034328366,0.0,8.119825773995524,0.0,0
2025-05-02 19:00:00,118.39,1.266473142455053,11.406524472971189,1.266473142455053,0.0,0.0,10.140051330516135,0.0,0.0,0.0,0
2025-05-02 20:00:00,150.39999999999998,1.022696190545751,10.989449076937944,1.022696190545751,0.0,0.0,9.966752886392193,0.0,0.0,0.0,0
2025-05-02 21:00:00,121.24000000000001,0.2597702329143553,10.72007370899967,0.2597702329143553,0.0,0.0,10.460303476085315,0.0,0.0,0.0,0
2025-05-02 22:00:00,106.72,0.47426760558392783,10.237511352333147,0.47426760558392783,0.0,0.0,9.76324374674922,0.0,0.0,0.0,0
2025-05-02 23:00:00,96.44,0.5299073567565405,9.577312071282154,0.5299073567565405,0.0,0.0,9.047404714525614,0.0,0.0,0.0,0
2025-05-03 00:00:00,97.81,0.6599500811975804,9.242222948041743,0.6599500811975804,0.0,0.0,8.582272866844162,0.0,0.0,0.0,0
2025-05-03 01:00:00,93.34,0.6659925277125726,8.796061135727223,0.6659925277125726,0.0,0.0,8.13006860801465,0.0,0.0,0.0,0
2025-05-03 02:00:00,92.2,0.4309415403040487,8.467322263214886,0.4309415403040487,0.0,0.0,8.036380722910836,0.0,0.0,0.0,0
2025-05-03 03:00:00,92.0,0.6421696336814386,8.33668853395162,0.6421696336814386,0.0,0.0,7.694518900270181,0.0,0.0,0.0,0
2025-05-03 04:00:00,91.22999999999999,0.22152178276880202,8.244156309056805,0.22152178276880202,0.0,0.0,8.022634526288003,0.0,0.0,0.0,0
2025-05-03 05:00:00,91.83999999999999,0.43134649225436855,8.487393591408983,0.43134649225436855,0.0,0.0,8.056047099154615,0.0,0.0,0.0,0
2025-05-03 06:00:00,92.86,0.2956900785515403,8.8156788745836,0.2956900785515403,0.0,0.0,8.51998879603206,0.0,0.0,0.0,0
